cx,cy,ix,iy,ox,oy
-0.9639982148703573,4.418122969138768,0.04417170166457201,2.1059962063163855,1.0063575899097439,5.129175065318055
-0.8425114672360792,4.351990387587829,0.144855770733073,2.050042312267964,1.180925444657621,5.032014102279376
-0.7213310083838153,4.285238746390067,0.24571244290727837,1.9944562013955396,1.3554222018356823,4.9347744754647325
-0.6004157744051251,4.217944511482003,0.3466851409203194,1.939137062639261,1.5298376671636622,4.83746270950584
-0.47972470139156415,4.150184148800158,0.4477172875053288,1.8839840849392748,1.7041616463612992,4.740085329034406
-0.35921672543468686,4.082034124281056,0.5487523053954403,1.8288964572357296,1.8783839451483328,4.642648858682141
-0.23885078262605344,4.013570903861219,0.6497336173237847,1.7737733684687733,2.052494369244497,4.5451598230807555
-0.11858580905721856,3.9448709534771687,0.7506046460234955,1.7185140075785534,2.2264827243695295,4.4476247468619565
0.0016192591802611789,3.876010739065426,0.8513088142277044,1.663017563505219,2.4003388162431696,4.350050154657454
0.12180548599483004,3.8070667265625158,0.9517895446695451,1.6071832251889164,2.5740524505851523,4.252442571098962
0.2420139352949298,3.73811538190496,1.0519902600821478,1.5509101815697957,2.747613433115215,4.154808520818187
0.362285670989004,3.669233171029278,1.1518543831986479,1.4940976215880024,2.921011569553097,4.057154528446839
0.48266175698549685,3.600496559871996,1.2513253367521764,1.4366447341836859,3.094236665618536,3.959487118616627
0.603183257192853,3.5319820143696323,1.3503465434758641,1.3784507082969943,3.267278527031265,3.861812815959262
0.7238912355195131,3.463766000458711,1.4488614261028472,1.3194147328680743,3.4401269595110238,3.764138145106454
0.8448197920197461,3.39591257856534,1.5468134075508078,1.2594359972027307,3.6127741684325447,3.6664701670977227
0.9659690426984008,3.328425269439112,1.6441886127933512,1.1984982968782005,3.7852372954295332,3.5688215171089146
1.0873287525507023,3.261289154391566,1.7411356999831293,1.136907457078187,3.95754826776402,3.4712081354270428
1.20888868410017,3.194489310331114,1.8378419911008115,1.0750459082518058,4.129739206710309,3.3736460057077275
1.330638599870328,3.1280108141661693,1.9344948081270608,1.0132960808481735,4.301842233542697,3.276151111606591
1.4525682623846992,3.0618387428051435,2.0312814730425433,0.9520404053164091,4.473889469535487,3.178739436779251
1.574667434166804,2.9959581731564504,2.128389307827927,0.8916613121056268,4.645913035962973,3.08142696488133
1.6969258777401648,2.930354182128502,2.2260056344638772,0.8325412316649452,4.817945054099463,2.9842296795684478
1.819333355628305,2.865011846629712,2.324317774931058,0.7750625944434816,4.990017645219252,2.887163564496226
1.9418796303547479,2.7999162435684903,2.423513051210139,0.719607830890351,5.162162930596642,2.790244603320283
